marking, episode: 1200, score: 200.0, mean_score: 194.00, std_score: 276.07
episode: 1200, score: 200.0, epsilon: 0.74
episode: 1210, score: 0.0, epsilon: 0.74
episode: 1220, score: 0.0, epsilon: 0.74
episode: 1230, score: 350.0, epsilon: 0.74
episode: 1240, score: 500.0, epsilon: 0.74
episode: 1250, score: 100.0, epsilon: 0.73
episode: 1260, score: 0.0, epsilon: 0.73
episode: 1270, score: 600.0, epsilon: 0.73
episode: 1280, score: 800.0, epsilon: 0.73
episode: 1290, score: 0.0, epsilon: 0.73
marking, episode: 1300, score: 500.0, mean_score: 234.50, std_score: 277.10
episode: 1300, score: 500.0, epsilon: 0.73
episode: 1310, score: 350.0, epsilon: 0.72
episode: 1320, score: 0.0, epsilon: 0.72
episode: 1330, score: 0.0, epsilon: 0.72
episode: 1340, score: 100.0, epsilon: 0.72
episode: 1350, score: 550.0, epsilon: 0.72
episode: 1360, score: 0.0, epsilon: 0.71
episode: 1370, score: 0.0, epsilon: 0.71
episode: 1380, score: 250.0, epsilon: 0.71
episode: 1390, score: 200.0, epsilon: 0.71
marking, episode: 1400, score: 0.0, mean_score: 205.00, std_score: 241.30
episode: 1400, score: 0.0, epsilon: 0.71
episode: 1410, score: 0.0, epsilon: 0.71
episode: 1420, score: 450.0, epsilon: 0.70
episode: 1430, score: 100.0, epsilon: 0.70
episode: 1440, score: 100.0, epsilon: 0.70
episode: 1450, score: 100.0, epsilon: 0.70
episode: 1460, score: 600.0, epsilon: 0.70
episode: 1470, score: 350.0, epsilon: 0.70
episode: 1480, score: 100.0, epsilon: 0.69
episode: 1490, score: 100.0, epsilon: 0.69
marking, episode: 1500, score: 100.0, mean_score: 210.00, std_score: 243.31
episode: 1500, score: 100.0, epsilon: 0.69
episode: 1510, score: 0.0, epsilon: 0.69
episode: 1520, score: 100.0, epsilon: 0.69
episode: 1530, score: 100.0, epsilon: 0.69
episode: 1540, score: 0.0, epsilon: 0.68
episode: 1550, score: 100.0, epsilon: 0.68
episode: 1560, score: 100.0, epsilon: 0.68
episode: 1570, score: 100.0, epsilon: 0.68
episode: 1580, score: 100.0, epsilon: 0.68
episode: 1590, score: 100.0, epsilon: 0.68
marking, episode: 1600, score: 0.0, mean_score: 198.00, std_score: 266.54
episode: 1600, score: 0.0, epsilon: 0.67
episode: 1610, score: 600.0, epsilon: 0.67
episode: 1620, score: 500.0, epsilon: 0.67
episode: 1630, score: 0.0, epsilon: 0.67
episode: 1640, score: 250.0, epsilon: 0.67
episode: 1650, score: 0.0, epsilon: 0.67
episode: 1660, score: 700.0, epsilon: 0.66
episode: 1670, score: 0.0, epsilon: 0.66
episode: 1680, score: 200.0, epsilon: 0.66
episode: 1690, score: 200.0, epsilon: 0.66
marking, episode: 1700, score: 200.0, mean_score: 220.50, std_score: 227.50
episode: 1700, score: 200.0, epsilon: 0.66
episode: 1710, score: 0.0, epsilon: 0.66
episode: 1720, score: 100.0, epsilon: 0.65
episode: 1730, score: 0.0, epsilon: 0.65
episode: 1740, score: 200.0, epsilon: 0.65
episode: 1750, score: 0.0, epsilon: 0.65
episode: 1760, score: 0.0, epsilon: 0.65
episode: 1770, score: 350.0, epsilon: 0.65
episode: 1780, score: 0.0, epsilon: 0.64
episode: 1790, score: 0.0, epsilon: 0.64
marking, episode: 1800, score: 100.0, mean_score: 143.50, std_score: 193.22
episode: 1800, score: 100.0, epsilon: 0.64
episode: 1810, score: 250.0, epsilon: 0.64
episode: 1820, score: 350.0, epsilon: 0.64
episode: 1830, score: 0.0, epsilon: 0.64
episode: 1840, score: 0.0, epsilon: 0.63
episode: 1850, score: 250.0, epsilon: 0.63
episode: 1860, score: 250.0, epsilon: 0.63
episode: 1870, score: 500.0, epsilon: 0.63
episode: 1880, score: 0.0, epsilon: 0.63
episode: 1890, score: 350.0, epsilon: 0.63
marking, episode: 1900, score: 0.0, mean_score: 249.50, std_score: 262.34
episode: 1900, score: 0.0, epsilon: 0.63
episode: 1910, score: 0.0, epsilon: 0.62
episode: 1920, score: 250.0, epsilon: 0.62
episode: 1930, score: 100.0, epsilon: 0.62
episode: 1940, score: 0.0, epsilon: 0.62
episode: 1950, score: 0.0, epsilon: 0.62
episode: 1960, score: 0.0, epsilon: 0.62
episode: 1970, score: 200.0, epsilon: 0.61
episode: 1980, score: 0.0, epsilon: 0.61
episode: 1990, score: 600.0, epsilon: 0.61
marking, episode: 2000, score: 600.0, mean_score: 240.50, std_score: 247.15
episode: 2000, score: 600.0, epsilon: 0.61
episode: 2010, score: 100.0, epsilon: 0.61
episode: 2020, score: 450.0, epsilon: 0.61
episode: 2030, score: 250.0, epsilon: 0.61
episode: 2040, score: 0.0, epsilon: 0.60
episode: 2050, score: 350.0, epsilon: 0.60
episode: 2060, score: 850.0, epsilon: 0.60
episode: 2070, score: 200.0, epsilon: 0.60
episode: 2080, score: 1000.0, epsilon: 0.60
episode: 2090, score: 0.0, epsilon: 0.60
marking, episode: 2100, score: 300.0, mean_score: 270.00, std_score: 270.92
episode: 2100, score: 300.0, epsilon: 0.60
episode: 2110, score: 100.0, epsilon: 0.59
episode: 2120, score: 350.0, epsilon: 0.59
episode: 2130, score: 200.0, epsilon: 0.59
episode: 2140, score: 0.0, epsilon: 0.59
episode: 2150, score: 0.0, epsilon: 0.59
episode: 2160, score: 0.0, epsilon: 0.59
episode: 2170, score: 600.0, epsilon: 0.59
episode: 2180, score: 200.0, epsilon: 0.58
episode: 2190, score: 0.0, epsilon: 0.58
marking, episode: 2200, score: 0.0, mean_score: 133.50, std_score: 186.82
episode: 2200, score: 0.0, epsilon: 0.58
episode: 2210, score: 450.0, epsilon: 0.58
episode: 2220, score: 200.0, epsilon: 0.58
episode: 2230, score: 250.0, epsilon: 0.58
episode: 2240, score: 200.0, epsilon: 0.58
episode: 2250, score: 100.0, epsilon: 0.57
episode: 2260, score: 350.0, epsilon: 0.57
episode: 2270, score: 500.0, epsilon: 0.57
episode: 2280, score: 0.0, epsilon: 0.57
episode: 2290, score: 0.0, epsilon: 0.57
marking, episode: 2300, score: 300.0, mean_score: 191.50, std_score: 196.48
episode: 2300, score: 300.0, epsilon: 0.57
episode: 2310, score: 100.0, epsilon: 0.57
episode: 2320, score: 100.0, epsilon: 0.56
episode: 2330, score: 0.0, epsilon: 0.56
episode: 2340, score: 350.0, epsilon: 0.56
episode: 2350, score: 0.0, epsilon: 0.56
episode: 2360, score: 600.0, epsilon: 0.56
episode: 2370, score: 0.0, epsilon: 0.56
episode: 2380, score: 100.0, epsilon: 0.56
episode: 2390, score: 0.0, epsilon: 0.55
marking, episode: 2400, score: 200.0, mean_score: 219.50, std_score: 227.80
episode: 2400, score: 200.0, epsilon: 0.55
episode: 2410, score: 100.0, epsilon: 0.55
episode: 2420, score: 250.0, epsilon: 0.55
episode: 2430, score: 350.0, epsilon: 0.55
episode: 2440, score: 250.0, epsilon: 0.55
episode: 2450, score: 0.0, epsilon: 0.55
episode: 2460, score: 250.0, epsilon: 0.55
episode: 2470, score: 900.0, epsilon: 0.54
episode: 2480, score: 0.0, epsilon: 0.54
episode: 2490, score: 100.0, epsilon: 0.54
marking, episode: 2500, score: 450.0, mean_score: 240.00, std_score: 266.46
episode: 2500, score: 450.0, epsilon: 0.54
episode: 2510, score: 0.0, epsilon: 0.54
episode: 2520, score: 100.0, epsilon: 0.54
episode: 2530, score: 0.0, epsilon: 0.54
episode: 2540, score: 850.0, epsilon: 0.53
